Biomarker_1,Biomarker_2,Biomarker_3,Biomarker_4,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_TIMP-2,0.98252,1.0,0.57692,1.0,0.66667,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_TIMP-2,0.98252,1.0,0.57692,1.0,0.66667,0.0101
HSPB1_TIMP-2,ADIPOQ_TIMP-2,TIMP-2_MMP9,KPYM_ADIPOQ,0.98252,1.0,0.57692,1.0,0.66667,0.0101
HSPB1_AGRIN,ADIPOQ_TIMP-2,TIMP-2_MMP9,KPYM_ADIPOQ,0.98252,1.0,0.57692,1.0,0.66667,0.0101
HSPB1_MMP9,PERM_HSPB1,ADIPOQ_AGRIN,AGRIN_TIMP-2,0.9824,1.0,0.48,1.0,0.65789,0.0101
HSPB1_MMP9,ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_HSPB1,0.9824,1.0,0.56,1.0,0.69444,0.0101
HSPB1_PERM,ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_HSPB1,0.9824,1.0,0.56,1.0,0.69444,0.0101
HSPB1_TIMP-2,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.9824,1.0,0.56,1.0,0.69444,0.0101
HSPB1_AGRIN,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.9824,1.0,0.56,1.0,0.69444,0.0101
HSPB1_PERM,ADIPOQ_TIMP-2,TIMP-2_MMP9,KPYM_MMP9,0.98237,1.0,0.65385,1.0,0.72727,0.0101
HSPB1_TIMP-2,ADIPOQ_PERM,TIMP-2_MMP9,KPYM_MMP9,0.98237,1.0,0.65385,1.0,0.72727,0.0101
HSPB1_TIMP-2,ADIPOQ_TIMP-2,TIMP-2_MMP9,KPYM_MMP9,0.98237,1.0,0.65385,1.0,0.72727,0.0101
HSPB1_TIMP-2,ADIPOQ_AGRIN,TIMP-2_MMP9,KPYM_MMP9,0.98237,1.0,0.65385,1.0,0.72727,0.0101
PERM_KPYM,ADIPOQ_PERM,TIMP-2_MMP9,KPYM_MMP9,0.98237,1.0,0.65385,1.0,0.72727,0.0101
PERM_KPYM,ADIPOQ_TIMP-2,TIMP-2_MMP9,KPYM_MMP9,0.98237,1.0,0.65385,1.0,0.72727,0.0101
PERM_KPYM,ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_MMP9,0.98237,1.0,0.61538,1.0,0.70588,0.0101
PERM_KPYM,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_TIMP-2,0.98237,1.0,0.57692,1.0,0.68571,0.0101
MMP9_TIMP-2,HSPB1_PERM,PERM_AGRIN,TIMP-2_ADIPOQ,0.98229,1.0,0.55556,1.0,0.65714,0.0101
MMP9_TIMP-2,HSPB1_AGRIN,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.98229,1.0,0.51852,1.0,0.63889,0.0101
MMP9_AGRIN,HSPB1_ADIPOQ,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.98229,1.0,0.40741,1.0,0.58974,0.0101
PERM_MMP9,ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,0.98229,1.0,0.62963,1.0,0.69697,0.0101
PERM_ADIPOQ,ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,0.98229,1.0,0.62963,1.0,0.69697,0.0101
PERM_TIMP-2,ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,0.98229,1.0,0.62963,1.0,0.69697,0.0101
MMP9_TIMP-2,ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_MMP9,0.98222,1.0,0.62963,1.0,0.71429,0.0101
PERM_AGRIN,ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_MMP9,0.98222,1.0,0.62963,1.0,0.71429,0.0101
MMP9_PERM,PERM_ADIPOQ,TIMP-2_PERM,KPYM_TIMP-2,0.98214,1.0,0.64286,1.0,0.6875,0.0101
MMP9_PERM,ADIPOQ_PERM,TIMP-2_PERM,KPYM_PERM,0.98214,1.0,0.53571,1.0,0.64865,0.0101
MMP9_TIMP-2,PERM_ADIPOQ,TIMP-2_PERM,KPYM_PERM,0.98214,1.0,0.67857,1.0,0.70968,0.0101
MMP9_HSPB1,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.98182,1.0,0.6,1.0,0.6875,0.0101
MMP9_ADIPOQ,ADIPOQ_MMP9,TIMP-2_MMP9,KPYM_HSPB1,0.98182,1.0,0.64,1.0,0.70968,0.0101
MMP9_ADIPOQ,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_TIMP-2,0.98182,1.0,0.6,1.0,0.6875,0.0101
MMP9_TIMP-2,ADIPOQ_MMP9,TIMP-2_ADIPOQ,KPYM_HSPB1,0.98182,1.0,0.56,1.0,0.66667,0.0101
HSPB1_ADIPOQ,PERM_HSPB1,TIMP-2_MMP9,KPYM_MMP9,0.98182,1.0,0.64,1.0,0.70968,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_KPYM,KPYM_MMP9,0.98182,1.0,0.6,1.0,0.6875,0.0101
HSPB1_KPYM,ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,0.98182,1.0,0.6,1.0,0.6875,0.0101
HSPB1_KPYM,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.98182,1.0,0.64,1.0,0.70968,0.0101
PERM_ADIPOQ,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_HSPB1,0.98182,1.0,0.56,1.0,0.66667,0.0101
ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_ADIPOQ,0.98182,1.0,0.64,1.0,0.70968,0.0101
ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_HSPB1,0.98182,1.0,0.64,1.0,0.70968,0.0101
ADIPOQ_MMP9,TIMP-2_ADIPOQ,AGRIN_HSPB1,KPYM_TIMP-2,0.98182,1.0,0.56,1.0,0.66667,0.0101
ADIPOQ_MMP9,TIMP-2_ADIPOQ,AGRIN_TIMP-2,KPYM_HSPB1,0.98182,1.0,0.48,1.0,0.62857,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_TIMP-2,0.98182,1.0,0.56,1.0,0.66667,0.0101
MMP9_AGRIN,ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_TIMP-2,0.98167,1.0,0.64,1.0,0.72727,0.0101
HSPB1_MMP9,ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_MMP9,0.98167,1.0,0.72,1.0,0.77419,0.0101
