Biomarker_1,Biomarker_2,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
AGRIN_TIMP2_norm,MVP_CLIC1_norm,0.91197,0.11111,0.98214,0.40351,0.95833,0.61798,0.19192,0.94643,0.63158,0.92308,0.71622,0.59596,0.76786,0.94737,0.80597,0.93478
AGRIN_TIMP2_norm,CLIC1_MVP_norm,0.91197,0.11111,0.98214,0.40351,0.95833,0.61798,0.19192,0.94643,0.63158,0.92308,0.71622,0.59596,0.76786,0.94737,0.80597,0.93478
TIMP2_AGRIN_norm,MVP_CLIC1_norm,0.91197,0.11111,0.98214,0.40351,0.95833,0.61798,0.19192,0.94643,0.63158,0.92308,0.71622,0.59596,0.76786,0.94737,0.80597,0.93478
TIMP2_AGRIN_norm,CLIC1_MVP_norm,0.91197,0.11111,0.98214,0.40351,0.95833,0.61798,0.19192,0.94643,0.63158,0.92308,0.71622,0.59596,0.76786,0.94737,0.80597,0.93478
MMP9_TIMP2_norm,MVP_CLIC1_norm,0.90758,0.14141,0.98214,0.56140,0.96970,0.68750,0.18182,0.96429,0.63158,0.94737,0.72000,0.59596,0.80357,0.87719,0.81967,0.86538
MMP9_TIMP2_norm,CLIC1_MVP_norm,0.90758,0.14141,0.98214,0.56140,0.96970,0.68750,0.18182,0.96429,0.63158,0.94737,0.72000,0.59596,0.80357,0.87719,0.81967,0.86538
TIMP2_MMP9_norm,MVP_CLIC1_norm,0.90758,0.14141,0.98214,0.56140,0.96970,0.68750,0.18182,0.96429,0.63158,0.94737,0.72000,0.59596,0.80357,0.87719,0.81967,0.86538
TIMP2_MMP9_norm,CLIC1_MVP_norm,0.90758,0.14141,0.98214,0.56140,0.96970,0.68750,0.18182,0.96429,0.63158,0.94737,0.72000,0.59596,0.80357,0.87719,0.81967,0.86538
AGRIN_MVP_norm,TIMP2_CLIC1_norm,0.90351,0.08081,0.98214,0.21053,0.92308,0.55000,0.18182,0.94643,0.54386,0.91176,0.67089,0.59596,0.75000,0.96491,0.79710,0.95455
AGRIN_MVP_norm,CLIC1_TIMP2_norm,0.90351,0.08081,0.98214,0.21053,0.92308,0.55000,0.18182,0.94643,0.54386,0.91176,0.67089,0.59596,0.75000,0.96491,0.79710,0.95455
TIMP2_MVP_norm,MVP_CLIC1_norm,0.90351,0.0303,0.98214,0.10526,0.85714,0.51887,0.22222,0.94643,0.64912,0.92500,0.72603,0.49495,0.83929,0.85965,0.84483,0.85455
TIMP2_MVP_norm,CLIC1_TIMP2_norm,0.90351,0.0303,0.98214,0.10526,0.85714,0.51887,0.22222,0.94643,0.64912,0.92500,0.72603,0.49495,0.83929,0.85965,0.84483,0.85455
TIMP2_MVP_norm,CLIC1_MVP_norm,0.90351,0.0303,0.98214,0.10526,0.85714,0.51887,0.22222,0.94643,0.64912,0.92500,0.72603,0.49495,0.83929,0.85965,0.84483,0.85455
TIMP2_CLIC1_norm,MVP_AGRIN_norm,0.90351,0.08081,0.98214,0.21053,0.92308,0.55000,0.18182,0.94643,0.54386,0.91176,0.67089,0.59596,0.75000,0.96491,0.79710,0.95455
TIMP2_CLIC1_norm,MVP_TIMP2_norm,0.90351,0.0303,0.98214,0.10526,0.85714,0.51887,0.22222,0.94643,0.64912,0.92500,0.72603,0.49495,0.83929,0.85965,0.84483,0.85455
TIMP2_CLIC1_norm,MVP_CLIC1_norm,0.90351,0.0303,0.98214,0.10526,0.85714,0.51887,0.22222,0.94643,0.64912,0.92500,0.72603,0.49495,0.83929,0.85965,0.84483,0.85455
TIMP2_CLIC1_norm,CLIC1_MVP_norm,0.90351,0.0303,0.98214,0.10526,0.85714,0.51887,0.22222,0.94643,0.64912,0.92500,0.72603,0.49495,0.83929,0.85965,0.84483,0.85455
MVP_AGRIN_norm,CLIC1_TIMP2_norm,0.90351,0.08081,0.98214,0.21053,0.92308,0.55000,0.18182,0.94643,0.54386,0.91176,0.67089,0.59596,0.75000,0.96491,0.79710,0.95455
MVP_TIMP2_norm,CLIC1_TIMP2_norm,0.90351,0.0303,0.98214,0.10526,0.85714,0.51887,0.22222,0.94643,0.64912,0.92500,0.72603,0.49495,0.83929,0.85965,0.84483,0.85455
MVP_TIMP2_norm,CLIC1_MVP_norm,0.90351,0.0303,0.98214,0.10526,0.85714,0.51887,0.22222,0.94643,0.64912,0.92500,0.72603,0.49495,0.83929,0.85965,0.84483,0.85455
MVP_CLIC1_norm,CLIC1_TIMP2_norm,0.90351,0.0303,0.98214,0.10526,0.85714,0.51887,0.22222,0.94643,0.64912,0.92500,0.72603,0.49495,0.83929,0.85965,0.84483,0.85455
TIMP2_CLIC1_norm,MVP_PERM_norm,0.9021,0.12121,0.98214,0.39286,0.95652,0.61798,0.16162,0.96429,0.50000,0.93333,0.65854,0.64646,0.73214,0.92857,0.77612,0.91111
TIMP2_CLIC1_norm,PERM_MVP_norm,0.9021,0.12121,0.98214,0.39286,0.95652,0.61798,0.16162,0.96429,0.50000,0.93333,0.65854,0.64646,0.73214,0.92857,0.77612,0.91111
MVP_PERM_norm,CLIC1_TIMP2_norm,0.9021,0.12121,0.98214,0.39286,0.95652,0.61798,0.16162,0.96429,0.50000,0.93333,0.65854,0.64646,0.73214,0.92857,0.77612,0.91111
PERM_MVP_norm,CLIC1_TIMP2_norm,0.9021,0.12121,0.98214,0.39286,0.95652,0.61798,0.16162,0.96429,0.50000,0.93333,0.65854,0.64646,0.73214,0.92857,0.77612,0.91111
Endometrial_thickness,TIMP2_MVP_norm,0.90089,0.09091,0.98246,0.22807,0.92857,0.56000,0.21212,0.94737,0.49123,0.90323,0.65060,0.36364,0.89474,0.80702,0.88462,0.82258
Endometrial_thickness,MVP_TIMP2_norm,0.90089,0.09091,0.98246,0.22807,0.92857,0.56000,0.21212,0.94737,0.49123,0.90323,0.65060,0.36364,0.89474,0.80702,0.88462,0.82258
