Biomarker_1,Biomarker_2,Biomarker_3,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
Endometrial_thickness,MMP9_AGRIN_norm,TIMP2_MMP9_norm,0.95735,0.06061,0.98276,0.40351,0.95833,0.62637,0.21212,0.94828,0.80702,0.93878,0.83333,0.52525,0.87931,0.96491,0.88710,0.96226
Endometrial_thickness,MMP9_AGRIN_norm,TIMP2_AGRIN_norm,0.95735,0.06061,0.98276,0.40351,0.95833,0.62637,0.21212,0.94828,0.80702,0.93878,0.83333,0.52525,0.87931,0.96491,0.88710,0.96226
Endometrial_thickness,MMP9_TIMP2_norm,AGRIN_MMP9_norm,0.95735,0.06061,0.98276,0.40351,0.95833,0.62637,0.21212,0.94828,0.80702,0.93878,0.83333,0.52525,0.87931,0.96491,0.88710,0.96226
Endometrial_thickness,MMP9_TIMP2_norm,AGRIN_TIMP2_norm,0.95735,0.06061,0.98276,0.40351,0.95833,0.62637,0.21212,0.94828,0.80702,0.93878,0.83333,0.52525,0.87931,0.96491,0.88710,0.96226
Endometrial_thickness,MMP9_TIMP2_norm,TIMP2_AGRIN_norm,0.95735,0.06061,0.98276,0.40351,0.95833,0.62637,0.21212,0.94828,0.80702,0.93878,0.83333,0.52525,0.87931,0.96491,0.88710,0.96226
Endometrial_thickness,AGRIN_MMP9_norm,TIMP2_MMP9_norm,0.95735,0.06061,0.98276,0.40351,0.95833,0.62637,0.21212,0.94828,0.80702,0.93878,0.83333,0.52525,0.87931,0.96491,0.88710,0.96226
Endometrial_thickness,AGRIN_MMP9_norm,TIMP2_AGRIN_norm,0.95735,0.06061,0.98276,0.40351,0.95833,0.62637,0.21212,0.94828,0.80702,0.93878,0.83333,0.52525,0.87931,0.96491,0.88710,0.96226
Endometrial_thickness,AGRIN_TIMP2_norm,TIMP2_MMP9_norm,0.95735,0.06061,0.98276,0.40351,0.95833,0.62637,0.21212,0.94828,0.80702,0.93878,0.83333,0.52525,0.87931,0.96491,0.88710,0.96226
Endometrial_thickness,MMP9_MVP_norm,KPYM_TIMP2_norm,0.95669,0.06061,0.98182,0.41818,0.95833,0.62791,0.28283,0.94545,0.87273,0.94118,0.88136,0.63636,0.85455,0.98182,0.87097,0.97917
Endometrial_thickness,MMP9_MVP_norm,TIMP2_KPYM_norm,0.95669,0.06061,0.98182,0.41818,0.95833,0.62791,0.28283,0.94545,0.87273,0.94118,0.88136,0.63636,0.85455,0.98182,0.87097,0.97917
