Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
CALU_TFDQLTPEESK,0.6329,0.98551,0.06383,0.75,0.60714,0.51515
ROA2_GGNFGFGDSR,0.62704,0.95652,0.06383,0.5,0.6,0.50505
SODC_TLVVHEK,0.60931,1.0,0.02128,1.0,0.6,0.52525
TAGL_EFTESQLQEGK,0.60854,0.97101,0.06383,0.6,0.6036,0.50505
SODC_AVCVLK,0.60808,1.0,0.02128,1.0,0.6,0.52525
TIMP2_EVDSGNDIYGNPIK,0.59898,0,0,0,0,0.5
TAGL_TLMALGSLAVTK,0.59605,1.0,0.06383,1.0,0.61062,0.50505
PIGR_VYTVDLGR,0.58989,0.98551,0.02128,0.5,0.59649,0.51515
MMP2_VDAAFNWSK,0.58156,0.98551,0.04255,0.66667,0.60177,0.51515
PIGR_GGCITLISSEGYVSSK,0.57848,0.98551,0.02128,0.5,0.59649,0.51515
FOLR1_TELLNVCMNAK,0.57478,0,0,0,0,0.5
FSCN1_FLIVAHDDGR,0.57339,0,0,0,0,0.5
VIME_ILLAELEQLK,0.56707,1.0,0.02128,1.0,0.6,0.50505
FSCN1_YLAPSGPSGTLK,0.56475,0.98551,0.04255,0.66667,0.60177,0.50505
CATD_VGFAEAAR,0.55705,0,0,0,0,0.5
WFDC2_EGSCPQVNINFPQLGLCR,0.53932,1.0,0.02128,1.0,0.6,0.50505
FOLR1_FNWNHCGEMAPACK,0.5387,0,0,0,0,0.5
WFDC2_VSCVTPNF,0.53346,0.97101,0.06383,0.6,0.6036,0.51515
MMP2_IDAVYEAPQEEK,0.5313,0,0,0,0,0.5
SERPH_GVVEVTHDLQK,0.52035,0.98551,0.08511,0.8,0.61261,0.50505
SERPH_DTQSGSLLFIGR,0.51973,0,0,0,0,0.5
SG2A1_TINSDISIPEYK,0.502,0,0,0,0,0.5
LEG1_SFVLNLGK,0.42307,0.95652,0.04255,0.4,0.59459,0.50505
VIME_ISLPLPNFSSLNLR,0.40934,0.95652,0.06383,0.5,0.6,0.50505
LEG1_LPDGYEFK,0.395,0.95652,0.06383,0.5,0.6,0.50505
