Biomarker_1,Biomarker_2,Biomarker_3,Biomarker_4,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_MMP9,0.88691,0.98182,0.22,0.91667,0.58065,0.0101
MMP9_KPYM,HSPB1_ADIPOQ,TIMP-2_KPYM,AGRIN_HSPB1,0.88681,1.0,0.06818,1.0,0.55435,0.0101
HSPB1_TIMP-2,ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.88681,0.98039,0.20455,0.9,0.58824,0.0101
HSPB1_ADIPOQ,ADIPOQ_TIMP-2,TIMP-2_MMP9,AGRIN_MMP9,0.88666,0.98077,0.23404,0.91667,0.58621,0.0101
HSPB1_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.88656,1.0,0.15217,1.0,0.58511,0.0101
MMP9_ADIPOQ,HSPB1_MMP9,TIMP-2_PERM,AGRIN_PERM,0.88636,1.0,0.25581,1.0,0.57895,0.0101
MMP9_ADIPOQ,HSPB1_AGRIN,TIMP-2_PERM,AGRIN_PERM,0.88636,1.0,0.25581,1.0,0.57895,0.0101
MMP9_KPYM,HSPB1_AGRIN,TIMP-2_KPYM,AGRIN_ADIPOQ,0.88636,1.0,0.11364,1.0,0.56667,0.0101
MMP9_KPYM,ADIPOQ_HSPB1,TIMP-2_KPYM,AGRIN_ADIPOQ,0.88636,1.0,0.11364,1.0,0.56667,0.0101
MMP9_ADIPOQ,TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.8862,0.98039,0.19608,0.90909,0.54945,0.0101
MMP9_ADIPOQ,TIMP-2_MMP9,AGRIN_MMP9,KPYM_HSPB1,0.88611,0.98039,0.17021,0.88889,0.5618,0.0101
MMP9_TIMP-2,ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.88603,0.98039,0.1875,0.9,0.5618,0.0101
MMP9_KPYM,HSPB1_ADIPOQ,TIMP-2_KPYM,AGRIN_ADIPOQ,0.88592,1.0,0.11364,1.0,0.56667,0.0101
MMP9_KPYM,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,0.88592,0.98039,0.18182,0.88889,0.5814,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_KPYM,KPYM_MMP9,0.88592,1.0,0.22727,1.0,0.6,0.0101
HSPB1_MMP9,ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,0.88584,0.98077,0.17021,0.88889,0.56667,0.0101
HSPB1_PERM,TIMP-2_PERM,AGRIN_PERM,KPYM_ADIPOQ,0.88579,1.0,0.28889,1.0,0.57333,0.0101
HSPB1_ADIPOQ,TIMP-2_PERM,AGRIN_PERM,KPYM_PERM,0.88579,1.0,0.28889,1.0,0.57333,0.0101
MMP9_TIMP-2,HSPB1_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.88577,1.0,0.15217,1.0,0.58511,0.0101
MMP9_KPYM,HSPB1_TIMP-2,TIMP-2_MMP9,AGRIN_MMP9,0.88577,0.98182,0.17391,0.88889,0.58696,0.0101
PERM_KPYM,TIMP-2_PERM,AGRIN_PERM,KPYM_ADIPOQ,0.8857,1.0,0.29787,1.0,0.56579,0.0101
MMP9_TIMP-2,HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_MMP9,0.88569,1.0,0.21277,1.0,0.57955,0.0101
HSPB1_KPYM,TIMP-2_PERM,AGRIN_PERM,KPYM_TIMP-2,0.88558,1.0,0.26667,1.0,0.5875,0.0101
MMP9_KPYM,HSPB1_TIMP-2,TIMP-2_KPYM,AGRIN_ADIPOQ,0.88547,1.0,0.11364,1.0,0.56667,0.0101
MMP9_KPYM,ADIPOQ_HSPB1,TIMP-2_KPYM,AGRIN_HSPB1,0.88547,1.0,0.09091,1.0,0.56044,0.0101
HSPB1_ADIPOQ,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.88547,1.0,0.22727,1.0,0.6,0.0101
PERM_KPYM,TIMP-2_PERM,AGRIN_PERM,,0.88537,1.0,0.28571,1.0,0.57317,0.0101
ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.88504,1.0,0.21569,1.0,0.56044,0.0101
HSPB1_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_TIMP-2,0.88486,0.98039,0.14894,0.875,0.55556,0.0101
HSPB1_ADIPOQ,ADIPOQ_KPYM,TIMP-2_PERM,AGRIN_PERM,0.8848,1.0,0.30233,1.0,0.58904,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.8848,0.98039,0.1875,0.9,0.5618,0.0101
MMP9_KPYM,HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_MMP9,0.88458,1.0,0.20455,1.0,0.59302,0.0101
MMP9_KPYM,HSPB1_KPYM,TIMP-2_KPYM,AGRIN_KPYM,0.88458,0.98182,0.06522,0.75,0.5567,0.0101
HSPB1_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_ADIPOQ,0.88458,1.0,0.15909,1.0,0.57955,0.0101
TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,,0.88428,1.0,0.21569,1.0,0.56044,0.0101
HSPB1_ADIPOQ,TIMP-2_PERM,AGRIN_PERM,KPYM_TIMP-2,0.88424,1.0,0.28889,1.0,0.57333,0.0101
MMP9_KPYM,PERM_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,0.88422,0.97872,0.16279,0.875,0.56098,0.0101
HSPB1_ADIPOQ,ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,0.88421,0.98077,0.12766,0.85714,0.55435,0.0101
HSPB1_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_AGRIN,0.88419,0.98182,0.15217,0.875,0.58065,0.0101
HSPB1_KPYM,TIMP-2_PERM,AGRIN_PERM,,0.88416,1.0,0.26667,1.0,0.5875,0.0101
HSPB1_KPYM,TIMP-2_PERM,AGRIN_PERM,KPYM_HSPB1,0.88416,1.0,0.26667,1.0,0.5875,0.0101
MMP9_KPYM,HSPB1_ADIPOQ,TIMP-2_KPYM,AGRIN_TIMP-2,0.88414,1.0,0.06818,1.0,0.55435,0.0101
MMP9_KPYM,ADIPOQ_HSPB1,TIMP-2_KPYM,AGRIN_TIMP-2,0.88414,1.0,0.09091,1.0,0.56044,0.0101
MMP9_KPYM,TIMP-2_MMP9,AGRIN_MMP9,,0.884,0.98182,0.18,0.9,0.56842,0.0101
HSPB1_ADIPOQ,ADIPOQ_AGRIN,TIMP-2_PERM,AGRIN_PERM,0.88384,1.0,0.28889,1.0,0.57895,0.0101
HSPB1_TIMP-2,ADIPOQ_PERM,TIMP-2_PERM,AGRIN_ADIPOQ,0.88384,1.0,0.26667,1.0,0.57143,0.0101
HSPB1_AGRIN,ADIPOQ_AGRIN,TIMP-2_PERM,AGRIN_PERM,0.88384,1.0,0.28889,1.0,0.57895,0.0101
ADIPOQ_KPYM,TIMP-2_PERM,AGRIN_PERM,KPYM_ADIPOQ,0.88372,1.0,0.29787,1.0,0.56579,0.0101
MMP9_ADIPOQ,ADIPOQ_HSPB1,TIMP-2_KPYM,AGRIN_KPYM,0.88369,1.0,0.09091,1.0,0.56044,0.0101
MMP9_TIMP-2,PERM_KPYM,TIMP-2_PERM,AGRIN_PERM,0.88366,1.0,0.23404,1.0,0.56627,0.0101
MMP9_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.88364,0.98182,0.18,0.9,0.56842,0.0101
MMP9_KPYM,ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.88358,0.98039,0.20833,0.90909,0.56818,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_MMP9,0.88358,0.98039,0.22917,0.91667,0.57471,0.0101
HSPB1_TIMP-2,PERM_ADIPOQ,TIMP-2_PERM,AGRIN_HSPB1,0.88333,1.0,0.24444,1.0,0.5641,0.0101
MMP9_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_AGRIN,0.88327,0.98182,0.18,0.9,0.56842,0.0101
MMP9_ADIPOQ,TIMP-2_KPYM,AGRIN_KPYM,KPYM_HSPB1,0.88324,1.0,0.09091,1.0,0.56044,0.0101
MMP9_KPYM,HSPB1_MMP9,TIMP-2_KPYM,AGRIN_ADIPOQ,0.88324,1.0,0.06818,1.0,0.55435,0.0101
HSPB1_ADIPOQ,TIMP-2_KPYM,AGRIN_HSPB1,KPYM_MMP9,0.88324,1.0,0.06818,1.0,0.55435,0.0101
HSPB1_KPYM,TIMP-2_PERM,AGRIN_PERM,KPYM_PERM,0.88322,1.0,0.26667,1.0,0.5875,0.0101
MMP9_KPYM,PERM_KPYM,TIMP-2_PERM,AGRIN_PERM,0.88321,1.0,0.25532,1.0,0.57317,0.0101
HSPB1_ADIPOQ,TIMP-2_PERM,AGRIN_PERM,KPYM_HSPB1,0.8832,1.0,0.28889,1.0,0.57333,0.0101
PERM_KPYM,TIMP-2_PERM,AGRIN_PERM,KPYM_PERM,0.8832,1.0,0.26531,1.0,0.56627,0.0101
PERM_KPYM,TIMP-2_PERM,AGRIN_PERM,KPYM_AGRIN,0.8832,1.0,0.26531,1.0,0.56627,0.0101
MMP9_KPYM,HSPB1_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.883,0.98182,0.15217,0.875,0.58065,0.0101
MMP9_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_HSPB1,0.883,0.98182,0.17391,0.88889,0.58696,0.0101
HSPB1_AGRIN,PERM_ADIPOQ,TIMP-2_PERM,AGRIN_PERM,0.88283,1.0,0.28889,1.0,0.57895,0.0101
HSPB1_MMP9,ADIPOQ_KPYM,TIMP-2_KPYM,AGRIN_ADIPOQ,0.8828,1.0,0.09091,1.0,0.56044,0.0101
HSPB1_ADIPOQ,ADIPOQ_MMP9,TIMP-2_MMP9,KPYM_MMP9,0.88277,1.0,0.23404,1.0,0.58621,0.0101
MMP9_KPYM,ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_MMP9,0.88276,0.98039,0.1875,0.9,0.5618,0.0101
MMP9_AGRIN,PERM_KPYM,TIMP-2_PERM,AGRIN_PERM,0.88275,1.0,0.25532,1.0,0.57317,0.0101
HSPB1_KPYM,PERM_HSPB1,TIMP-2_PERM,AGRIN_PERM,0.88274,1.0,0.26667,1.0,0.5875,0.0101
HSPB1_KPYM,PERM_TIMP-2,TIMP-2_PERM,AGRIN_PERM,0.88274,1.0,0.26667,1.0,0.5875,0.0101
HSPB1_PERM,ADIPOQ_KPYM,TIMP-2_PERM,AGRIN_PERM,0.88264,1.0,0.32558,1.0,0.59722,0.0101
MMP9_KPYM,HSPB1_AGRIN,TIMP-2_MMP9,AGRIN_MMP9,0.88261,0.98182,0.17391,0.88889,0.58696,0.0101
MMP9_TIMP-2,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,0.88257,0.98077,0.19149,0.9,0.57303,0.0101
HSPB1_ADIPOQ,ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_MMP9,0.88257,0.98077,0.23404,0.91667,0.58621,0.0101
MMP9_ADIPOQ,HSPB1_KPYM,TIMP-2_KPYM,AGRIN_KPYM,0.88235,1.0,0.06818,1.0,0.55435,0.0101
HSPB1_PERM,PERM_ADIPOQ,TIMP-2_PERM,AGRIN_PERM,0.88232,1.0,0.28889,1.0,0.57895,0.0101
HSPB1_AGRIN,ADIPOQ_PERM,TIMP-2_PERM,AGRIN_PERM,0.88232,1.0,0.28889,1.0,0.57895,0.0101
ADIPOQ_PERM,TIMP-2_PERM,AGRIN_ADIPOQ,KPYM_TIMP-2,0.8823,1.0,0.26531,1.0,0.5443,0.0101
PERM_KPYM,ADIPOQ_AGRIN,TIMP-2_PERM,AGRIN_PERM,0.88224,1.0,0.29787,1.0,0.56579,0.0101
HSPB1_TIMP-2,TIMP-2_PERM,AGRIN_PERM,KPYM_ADIPOQ,0.88217,1.0,0.28889,1.0,0.57333,0.0101
HSPB1_KPYM,TIMP-2_PERM,AGRIN_PERM,KPYM_ADIPOQ,0.8821,1.0,0.30233,1.0,0.58904,0.0101
ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_MMP9,KPYM_ADIPOQ,0.88197,1.0,0.19608,1.0,0.55435,0.0101
ADIPOQ_TIMP-2,TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.88197,1.0,0.17647,1.0,0.54839,0.0101
ADIPOQ_TIMP-2,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.88197,1.0,0.19608,1.0,0.55435,0.0101
MMP9_KPYM,ADIPOQ_KPYM,TIMP-2_KPYM,AGRIN_ADIPOQ,0.88194,1.0,0.125,1.0,0.54839,0.0101
MMP9_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_ADIPOQ,0.88194,0.98039,0.22917,0.91667,0.57471,0.0101
MMP9_HSPB1,HSPB1_ADIPOQ,TIMP-2_KPYM,AGRIN_KPYM,0.88191,1.0,0.06818,1.0,0.55435,0.0101
HSPB1_PERM,ADIPOQ_HSPB1,TIMP-2_PERM,AGRIN_ADIPOQ,0.88182,1.0,0.28889,1.0,0.57895,0.0101
HSPB1_ADIPOQ,ADIPOQ_PERM,TIMP-2_PERM,AGRIN_TIMP-2,0.88182,1.0,0.24444,1.0,0.5641,0.0101
HSPB1_AGRIN,ADIPOQ_HSPB1,TIMP-2_PERM,AGRIN_PERM,0.88182,1.0,0.28889,1.0,0.57895,0.0101
ADIPOQ_PERM,TIMP-2_PERM,AGRIN_ADIPOQ,KPYM_ADIPOQ,0.88182,1.0,0.26531,1.0,0.5443,0.0101
HSPB1_KPYM,PERM_AGRIN,TIMP-2_PERM,AGRIN_PERM,0.8818,1.0,0.26667,1.0,0.5875,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_MMP9,,0.88175,0.98077,0.23404,0.91667,0.58621,0.0101
MMP9_PERM,HSPB1_KPYM,TIMP-2_PERM,AGRIN_PERM,0.88174,1.0,0.23256,1.0,0.5875,0.0101
MMP9_PERM,HSPB1_ADIPOQ,TIMP-2_PERM,AGRIN_MMP9,0.88161,1.0,0.2093,1.0,0.5641,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.88158,1.0,0.19608,1.0,0.55435,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_AGRIN,0.88154,0.98039,0.20833,0.90909,0.56818,0.0101
MMP9_ADIPOQ,HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_MMP9,0.88152,1.0,0.21277,1.0,0.57955,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_MMP9,KPYM_ADIPOQ,0.88152,1.0,0.19149,1.0,0.57303,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_MMP9,KPYM_AGRIN,0.88152,0.98039,0.23404,0.91667,0.5814,0.0101
MMP9_KPYM,PERM_MMP9,TIMP-2_PERM,AGRIN_PERM,0.88139,1.0,0.25532,1.0,0.57317,0.0101
