Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
OSTP_ANDESNEHSDVIDSQELSK,0.72864,0.73913,0.68421,0.59091,0.80952,0.52525
STMN1_SHEAEVLK,0.72082,0.42029,0.94737,0.47368,0.93548,0.75758
STMN1_AIEENNNFSK,0.71892,0.69565,0.68421,0.55319,0.8,0.66667
GSTP1_TLGLYGK,0.71834,0.50725,0.86842,0.49254,0.875,0.71717
PRDX6_DFTPVCTTELGR,0.71396,0.62319,0.73684,0.51852,0.81132,0.68687
PPIA_VSFELFADK,0.71014,0.53623,0.81579,0.49206,0.84091,0.71717
MUC1_EGTINVHDVETQFNQYK,0.70519,0.86957,0.5,0.67857,0.75949,0.54545
ANXA2_QDIAFAYQR,0.70404,0.69565,0.71053,0.5625,0.81356,0.62626
PRDX6_LSILYPATTGR,0.69756,0.57971,0.78947,0.50847,0.83333,0.68687
PPIA_FEDENFILK,0.69527,0.55072,0.78947,0.4918,0.82609,0.70707
PAEP_VLVEDDEIMQGFIR,0.69394,0.98551,0.31579,0.92308,0.7234,0.37374
HSPB1_LATQSNEITIPVTFESR,0.6926,0.49275,0.92105,0.5,0.91892,0.70707
KPYM_APIIAVTR,0.69146,0.53623,0.86842,0.50769,0.88095,0.69697
ROA2_TLETVPLER,0.67944,0.68116,0.65789,0.53191,0.78333,0.65657
HSPB1_LFDQAFGLPR,0.65789,0.46377,0.92105,0.48611,0.91429,0.70707
LEG3_IALDFQR,0.64874,0.37681,0.84211,0.42667,0.8125,0.69697
CATD_VSTLPAITLK,0.63673,0.73913,0.57895,0.55,0.76119,0.61616
LEG3_GNDVAFHFNPR,0.63654,0.33333,0.86842,0.41772,0.82143,0.71717
CAYP1_EAVIAAAFAK,0.63234,0.50725,0.84211,0.48485,0.85366,0.66667
CAYP1_SGDGVVTVDDLR,0.63215,0.49275,0.89474,0.49275,0.89474,0.68687
CSF1_TFYETPLQLLEK,0.63005,0.71014,0.52632,0.5,0.73134,0.51515
CSF1_AFLLVQDIMEDTMR,0.62529,0.65217,0.60526,0.48936,0.75,0.52525
ROA2_GGNFGFGDSR,0.61156,0.6087,0.68421,0.49057,0.77778,0.62626
PEBP1_LYEQLSGK,0.60374,0.21739,0.97368,0.40659,0.9375,0.70707
PEBP1_VLTPTQVK,0.60107,0.2029,1.0,0.4086,1.0,0.70707
CALU_TFDQLTPEESK,0.6005,0.82609,0.36842,0.53846,0.7037,0.58586
PIGR_VYTVDLGR,0.58619,0.56522,0.57895,0.42308,0.70909,0.65657
PIGR_GGCITLISSEGYVSSK,0.57513,0.56522,0.57895,0.42308,0.70909,0.65657
SODC_TLVVHEK,0.57285,0.6087,0.57895,0.44898,0.72414,0.64646
SODC_AVCVLK,0.56903,0.50725,0.65789,0.42373,0.72917,0.65657
TIMP2_EVDSGNDIYGNPIK,0.56388,0.18841,0.94737,0.3913,0.86667,0.72727
TAGL_EFTESQLQEGK,0.56121,0.34783,0.78947,0.4,0.75,0.66667
TAGL_TLMALGSLAVTK,0.55072,0.82609,0.28947,0.47826,0.67857,0.55556
MMP2_VDAAFNWSK,0.54272,0.17391,0.94737,0.3871,0.85714,0.72727
VIME_ILLAELEQLK,0.52937,0.86957,0.23684,0.5,0.67416,0.60606
FOLR1_TELLNVCMNAK,0.52613,0.82609,0.28947,0.47826,0.67857,0.50505
FSCN1_FLIVAHDDGR,0.52593,0.57971,0.52632,0.40816,0.68966,0.56566
FSCN1_YLAPSGPSGTLK,0.52384,0.5942,0.5,0.40426,0.68333,0.55556
WFDC2_VSCVTPNF,0.51678,0.36232,0.73684,0.38889,0.71429,0.65657
WFDC2_EGSCPQVNINFPQLGLCR,0.51449,0.23188,0.86842,0.38372,0.7619,0.67677
SERPH_GVVEVTHDLQK,0.50057,0.17391,0.89474,0.37363,0.75,0.65657
CATD_VGFAEAAR,0.49981,0.49275,0.65789,0.41667,0.7234,0.58586
SERPH_DTQSGSLLFIGR,0.49504,0.17391,0.89474,0.37363,0.75,0.65657
FOLR1_FNWNHCGEMAPACK,0.49199,0.81159,0.26316,0.43478,0.66667,0.50505
SG2A1_TINSDISIPEYK,0.48856,0.33333,0.76316,0.38667,0.71875,0.53535
MMP2_IDAVYEAPQEEK,0.4878,0.23188,0.92105,0.39773,0.84211,0.67677
VIME_ISLPLPNFSSLNLR,0.38043,0.10145,0.92105,0.36082,0.7,0.62626
LEG1_SFVLNLGK,0.36842,0.98551,0.02632,0.5,0.64762,0.50505
LEG1_LPDGYEFK,0.3463,1.0,0.0,0,0.64486,0.0
